Ontology,Input,Operazione,Esito,Costrutto,Messaggio
c2abef0f-3619-4589-860a-22821e5142ac_ntology_xp.obo,MIS_128,parse,OK,,
c2abef0f-3619-4589-860a-22821e5142ac_ntology_xp.obo,functional,render,OK,,
c2abef0f-3619-4589-860a-22821e5142ac_ntology_xp.obo,std,parse,OK,,
c343f7b1-c70e-4dbd-bef7-0d3b9aaf6fd7_prsimple.owl,MIS_128,parse,OK,,
c343f7b1-c70e-4dbd-bef7-0d3b9aaf6fd7_prsimple.owl,functional,render,OK,,
c343f7b1-c70e-4dbd-bef7-0d3b9aaf6fd7_prsimple.owl,std,parse,OK,,
c93db046-8fc7-4bfc-8abe-c4ccd5090272_tivitydemo.owl,MIS_128,parse,OK,,
c93db046-8fc7-4bfc-8abe-c4ccd5090272_tivitydemo.owl,functional,render,OK,,
c93db046-8fc7-4bfc-8abe-c4ccd5090272_tivitydemo.owl,std,parse,OK,,
c9422304-a4fb-40e4-9d0f-81bdea1cd50b_l.obo.PREVIOUS,MIS_128,parse,OK,,
c9422304-a4fb-40e4-9d0f-81bdea1cd50b_l.obo.PREVIOUS,functional,render,OK,,
c9422304-a4fb-40e4-9d0f-81bdea1cd50b_l.obo.PREVIOUS,std,parse,OK,,
csso.clinical-signs-and-symptoms-ontology.4.owl.xml,MIS_128,parse,OK,,
csso.clinical-signs-and-symptoms-ontology.4.owl.xml,functional,render,OK,,
csso.clinical-signs-and-symptoms-ontology.4.owl.xml,std,parse,OK,,
d072d130-da53-40a3-a616-59642617ccc3_M4L.owl,MIS_128,parse,OK,,
